source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
4352,Footloose,Footloose,2011.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4358,Adore,Adore,2013.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Adoration,Adoration,2013.0,111190.0,0.8071,
4367,Darkest Hour,Darkest Hour,2018.0,Confidence below threshold (0.69 < 0.82).,Confidence below threshold (0.69 < 0.82).,The Darkest Hour,A Legsötétebb Óra,2018.0,998445.0,0.6914,
4376,Gran Torino,Gran Torino,2009.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,Gran Torino: Next Door,Gran Torino: Next Door,2009.0,1707745.0,0.7632,
4383,Sex Game 6969,물오징어6969,2022.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4389,Legend,Legend,1986.0,Best title similarity below threshold.,Best title similarity below threshold.,Ponce de Leon,Ponce de Leon,1986.0,311848.0,0.658,
4390,Legend,Legend,1986.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4394,The Farm,The Farm,2019.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Farm,The Farm,2019.0,690434.0,0.9161,
4395,Away,Away,2020.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Away,ไกลบ้าน,2020.0,695632.0,0.7669,
4403,Valkyrie,Valkyrie,2009.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Valkyrie Limited,Valkyrie Limited,2009.0,774155.0,0.7711,
4415,The Lake,The Lake,2023.0,Confidence below threshold (0.66 < 0.82).,Confidence below threshold (0.66 < 0.82).,The Lake Song,La canción del pantano,2023.0,1363284.0,0.664,
4422,Notorious,Notorious,2009.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4432,Sailor Moon S the Movie: Hearts in Ice,劇場版 美少女戦士セーラームーンS 〜かぐや姫の恋人〜,2001.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4439,Mr. Nice Guy,一個好人,1999.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4449,Arthur and the Revenge of Maltazard,Arthur et la vengeance de Maltazard,2011.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4463,After,After,2023.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,After,After,2023.0,1472772.0,0.772,
4464,After,After,2023.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4471,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,2023.0,Not released status.,Not released status.,,,,,,
4472,Wild Tales,Relatos salvajes,2015.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Wild Tales,Relatos salvajes,2014.0,265195.0,0.8063,
4481,Gangs of New York,Gangs of New York,2003.0,Confidence below threshold (0.74 < 0.82).,Confidence below threshold (0.74 < 0.82).,Uncovering the Real Gangs of New York,Uncovering the Real Gangs of New York,2003.0,426362.0,0.7429,
4491,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,1987.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,1986.0,168.0,0.8188,
4492,An Affair: My Wife's Friend 2,정사:아내의 친구 2,2019.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,정사 : 아내의 친구 2,정사 : 아내의 친구 2,2019.0,941602.0,0.8125,
4494,The X Files,The X Files,1998.0,Best title similarity below threshold.,Best title similarity below threshold.,The X-Files,The X-Files,1998.0,846.0,0.7545,
4497,The Day,The Day,2012.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,The Next Day,The Next Day,2012.0,158230.0,0.7922,
4502,The Swan Princess,The Swan Princess,2004.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4507,Halloween II,Halloween II,1982.0,Confidence below threshold (0.70 < 0.82).,Confidence below threshold (0.70 < 0.82).,Halloween III: Season of the Witch,Halloween III: Season of the Witch,1982.0,10676.0,0.7022,
4509,The Last of the Mohicans,The Last of the Mohicans,1993.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,The Last of the Mohicans,Der letzte Mohikaner,1993.0,1031841.0,0.7643,
4534,Papillon,Papillon,2018.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,Papillons,Papillons,2018.0,704534.0,0.7485,
4546,Horns,Horns,2015.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4547,Shame,Shame,2012.0,Confidence below threshold (0.65 < 0.82).,Confidence below threshold (0.65 < 0.82).,Shameless,Bez wstydu,2012.0,133521.0,0.6463,
4559,LasVegas,LasVegas,2023.0,Confidence below threshold (0.55 < 0.82).,Confidence below threshold (0.55 < 0.82).,Las Vegas Frankenstein,Las Vegas Frankenstein,2023.0,1190151.0,0.5514,
4563,Samson and Delilah,Samson and Delilah,1996.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4564,13 Sins,13 Sins,2017.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4566,Scooby-Doo! and the Cyber Chase,Scooby-Doo! and the Cyber Chase,2005.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4569,Triangle,Triangle,2010.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Pink Triangle,Pink Triangle,2010.0,671764.0,0.8072,
4581,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,2003.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4601,Malcolm X,Malcolm X,1993.0,Confidence below threshold (0.70 < 0.82).,Confidence below threshold (0.70 < 0.82).,Seven Songs for Malcolm X,Seven Songs for Malcolm X,1993.0,256775.0,0.7023,
4624,Life,Life,1999.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4629,Possession,Possession,2014.0,Confidence below threshold (0.74 < 0.82).,Confidence below threshold (0.74 < 0.82).,Possessions,九十九,2014.0,211358.0,0.7431,
4639,The Maltese Falcon,The Maltese Falcon,1943.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4652,The Poughkeepsie Tapes,The Poughkeepsie Tapes,2019.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4692,Blood Father,Blood Father,2016.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,Blood Father,Blood Father,2016.0,309886.0,0.7963,
4708,King Kong,King Kong,1976.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4709,King Kong,King Kong,1976.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4713,Shaft,Shaft,2020.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4718,West Side Story,West Side Story,2021.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4727,My Friend's Mom,내 친구의 엄마,2016.0,Confidence below threshold (0.68 < 0.82).,Confidence below threshold (0.68 < 0.82).,An Affair: My Friend's Mom,정사: 친구의 엄마,2017.0,481891.0,0.6752,
4731,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2012.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Girl with the Dragon Tattoo: Hard Copy,The Girl with the Dragon Tattoo: Hard Copy,2012.0,1199213.0,0.8247,
4732,Room,Room,2016.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,Room 105,Room 105,2016.0,474107.0,0.7453,
4733,Prospect,Prospect,2019.0,Confidence below threshold (0.74 < 0.82).,Confidence below threshold (0.74 < 0.82).,Pleasure Prospects,Pleasure Prospects,2019.0,788807.0,0.7423,
4738,The Fog,The Fog,2005.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4755,Directing Annabelle: Creation,Directing Annabelle: Creation,2017.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4756,Emmanuelle: The Joys of a Woman,Emmanuelle: L'antivierge,1978.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4762,Sister Act,Sister Act,1993.0,Best title similarity below threshold.,Best title similarity below threshold.,Sister Act 2: Back in the Habit,Sister Act 2: Back in the Habit,1993.0,6279.0,0.6888,
4769,Bellefond,Bellefond,2022.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4782,Carlito's Way,Carlito's Way,1994.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Carlito's Way,Carlito's Way,1993.0,6075.0,0.8144,
4805,Armour of God,龍兄虎弟,1988.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,War City 3: The Extreme Project,龍兄虎弟,1988.0,1140251.0,0.7677,
4814,9 Songs,9 Songs,2006.0,Confidence below threshold (0.53 < 0.82).,Confidence below threshold (0.53 < 0.82).,Nine Songs,九歌,2007.0,1654996.0,0.5278,
4822,New Initial D the Movie - Legend 2: Racer,頭文字D Legend2 闘走,2015.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,Initial D Legend 2: Racer,新劇場版「頭文字D」Legend2 -闘走-,2015.0,321487.0,0.8043,
4826,Kandahar,Kandahar,2023.0,Not released status.,Not released status.,,,,,,
4843,Belzebuth,Belzebuth,2021.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4861,Heist,Heist,2015.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
